,title,time,date,Hour
138,existential depression,9:15 PM,5-Oct-21,21
139,so tired of walking a tightrope,7:36 PM,5-Oct-21,19
140,problems with sleep,4:41 PM,5-Oct-21,16
141,are you afraid of dying without having done anything meaningful in your life,12:15 PM,5-Oct-21,12
142,sinking,6:57 AM,5-Oct-21,6
143,im tired of pretending,4:26 AM,5-Oct-21,4
144,reading and depression an ultimatum,3:11 AM,5-Oct-21,3
145,depressed in public,8:45 PM,4-Oct-21,20
146,how to clear the mental rut,8:18 PM,4-Oct-21,20
147,dr wants me back on meds,3:03 PM,4-Oct-21,15
148,don%E2%80%99t want to live but don%E2%80%99t want to die either,1:29 PM,4-Oct-21,13
149,when you go to bed tonight,8:24 AM,4-Oct-21,8
150,drugs and depression,12:20 AM,4-Oct-21,0
151,sharing my experience of major depression,11:09 PM,3-Oct-21,23
152,anxiety and depression which one do i hav,1:34 PM,1-Oct-21,13
153,todays achievements %F0%9F%99%82,5:35 AM,17-Oct-21,5
154,redemption,5:31 AM,17-Oct-21,5
155,i dont like who i see in the mirror,2:52 AM,17-Oct-21,2
156,when little to nothing brings you joy,2:37 AM,17-Oct-21,2
157,warning signs,2:35 AM,17-Oct-21,2
158,1 thing youre grateful for today,1:25 AM,17-Oct-21,1
159,don%E2%80%99t know how much longer i can go on,12:52 AM,17-Oct-21,0
160,do you feel guilt of your depression or not,12:32 AM,17-Oct-21,0
161,my fate to die,12:07 AM,17-Oct-21,0
162,i am not going to sleep this night l,11:45 PM,16-Oct-21,23
163,dealing with utter boredom,11:41 PM,16-Oct-21,23
164,anyone around,9:52 PM,16-Oct-21,21
165,depression since 12 years old,8:25 PM,16-Oct-21,20
166,struggling with depression since 5 year,5:15 PM,16-Oct-21,17
167,doing better than i have in a long long time,9:21 AM,16-Oct-21,9
168,odd feeling better,9:13 AM,16-Oct-21,9
169,i truly hate my life more than anything else,1:15 AM,16-Oct-21,1
170,lexapro withdrawals only getting wors,10:11 PM,15-Oct-21,22
171,lexapro withdrawal symptoms and trying to have some quality of life,9:57 PM,15-Oct-21,21
172,social issues anyone else,7:02 PM,15-Oct-21,19
173,sick of everything going wrong and ready to jack it all in,6:23 AM,15-Oct-21,6
174,the past,4:49 AM,15-Oct-21,4
175,what helps you most when youre falling apart,8:19 PM,14-Oct-21,20
176,someone talk%EF%BC%9F,6:32 PM,14-Oct-21,18
177,i cried today,2:36 AM,14-Oct-21,2
178,lyrics that resonate,5:47 PM,13-Oct-21,17
179,anxiety and depression at 21 years old,3:28 PM,13-Oct-21,15
180,i think its easier to be sad,1:47 PM,13-Oct-21,13
181,new here feeling down lonely anyone around,6:50 AM,13-Oct-21,6
182,can%E2%80%99t find the words,3:24 AM,13-Oct-21,3
183,1 year later and im back,11:35 PM,12-Oct-21,23
184,carryng a bad feeling everyday just vent,10:07 PM,12-Oct-21,22
185,venlafaxine worries,7:59 PM,12-Oct-21,19
186,i know this may seem like nothing but,6:53 PM,12-Oct-21,18
187,at a loss,6:34 PM,12-Oct-21,18
188,does depression affect our judgment,5:25 PM,12-Oct-21,17
189,anyone have experience with modafinil for depression,8:38 AM,12-Oct-21,8
190,new treatment for depression,3:34 PM,11-Oct-21,15
191,horrible feeling in the morning,12:30 PM,11-Oct-21,12
192,letting the beast win,7:17 AM,11-Oct-21,7
193,sylvia plath on bbc four now 9pm 10 10 21 uk,9:40 PM,10-Oct-21,21
194,lost five years of my hobby stuff is there sense to start all over again,5:46 PM,10-Oct-21,17
195,stuck in this rut,5:26 PM,10-Oct-21,17
196,help wanted,2:38 PM,10-Oct-21,14
197,forgiveness,2:06 PM,10-Oct-21,14
198,lexapro dosage,10:07 AM,10-Oct-21,10
199,trigger warning sa physical abuse whats the point to live when everyone trying to kill me,4:40 AM,10-Oct-21,4
200,depressed about my current situation,2:33 AM,10-Oct-21,2
201,treading water,9:13 PM,9-Oct-21,21
202,i wish i could be normal most of the time i wish i could be someone else,8:20 PM,9-Oct-21,20
203,do i need to basically live in holiday mode,12:21 PM,9-Oct-21,12
204,my grandmother suffered a stroke and got diagnosed with alzheimers,3:11 AM,9-Oct-21,3
205,hi anyone up for a chat,1:17 AM,9-Oct-21,1
206,anyone wants to chat,10:46 PM,8-Oct-21,22
207,dunno why im posting,5:29 PM,8-Oct-21,17
208,depression pain,2:04 PM,8-Oct-21,14
209,i cant keep going,1:09 PM,8-Oct-21,13
210,i can%E2%80%99t seem to be happy for longer than a few minutes,4:41 AM,8-Oct-21,4
211,suicidal because ugly male,10:01 PM,7-Oct-21,22
212,maybe i can%E2%80%99t post here later%F0%9F%98%9E,8:01 PM,7-Oct-21,20
213,really unwell trigger animals,7:44 PM,7-Oct-21,19
214,im tired,7:36 PM,7-Oct-21,19
215,whats going on with me lifes been so weird advice and input are appreciated,2:02 PM,7-Oct-21,14
216,listening to music all the time,1:46 PM,7-Oct-21,13
217,mask for today,12:48 PM,7-Oct-21,12
218,my honest view on high functioning depression,8:47 AM,7-Oct-21,8
219,just me,5:21 AM,7-Oct-21,5
220,too tired,4:55 AM,7-Oct-21,4
221,lack of motivation to care about anything,2:31 AM,7-Oct-21,2
222,whats the 1 thing you did today to improve your mental health,12:03 AM,7-Oct-21,0
223,mirtazapine in addition to venlafaxine any experiences,11:29 PM,6-Oct-21,23
224,hope,11:23 PM,6-Oct-21,23
225,feel stupid all the time,8:29 PM,6-Oct-21,20
226,how do you pull yourself ip,3:47 PM,6-Oct-21,15
227,nofap,2:31 PM,6-Oct-21,14
228,anyone heard of psycotic depression,2:17 PM,6-Oct-21,14
229,boredom destroys me,2:00 PM,6-Oct-21,14
230,i cant be a mother and its killing me,12:08 PM,6-Oct-21,12
231,where in the world are you from,11:56 AM,6-Oct-21,11
232,the problem with most people,11:55 AM,6-Oct-21,11
233,my life is worthless,2:50 AM,6-Oct-21,2
234,i feel jealous of old people,2:46 AM,6-Oct-21,2
235,can someone who was born with depression drink alcohol at all,2:20 AM,6-Oct-21,2
236,cant read because of depression,2:00 AM,6-Oct-21,2
237,i hate this miserable existence,1:18 AM,6-Oct-21,1
238,when to return to work,9:28 PM,5-Oct-21,21
239,existential depression,9:15 PM,5-Oct-21,21
240,so tired of walking a tightrope,7:36 PM,5-Oct-21,19
241,problems with sleep,4:41 PM,5-Oct-21,16
242,are you afraid of dying without having done anything meaningful in your life,12:15 PM,5-Oct-21,12
243,sinking,6:57 AM,5-Oct-21,6
244,im tired of pretending,4:26 AM,5-Oct-21,4
245,reading and depression an ultimatum,3:11 AM,5-Oct-21,3
246,depressed in public,8:45 PM,4-Oct-21,20
247,how to clear the mental rut,8:18 PM,4-Oct-21,20
248,dr wants me back on meds,3:03 PM,4-Oct-21,15
249,don%E2%80%99t want to live but don%E2%80%99t want to die either,1:29 PM,4-Oct-21,13
250,when you go to bed tonight,8:24 AM,4-Oct-21,8
251,drugs and depression,12:20 AM,4-Oct-21,0
252,sharing my experience of major depression,11:09 PM,3-Oct-21,23
253,how to get things done,6:18 PM,3-Oct-21,18
254,i am literally falling apart,5:30 PM,3-Oct-21,17
255,depressed,5:11 PM,3-Oct-21,17
256,depression crisis and energy drinks,4:54 PM,3-Oct-21,16
257,how to get back into hobby after unpleasant experience involving this hobby,3:25 PM,3-Oct-21,15
258,hi,3:48 AM,3-Oct-21,3
259,friends are they worth it,11:40 PM,2-Oct-21,23
260,everyday is a nightmare,10:47 PM,2-Oct-21,22
261,depression is boring,9:06 PM,2-Oct-21,21
262,it doesnt matter what i do,5:42 PM,2-Oct-21,17
263,high functioning depression and anxiety,9:16 AM,2-Oct-21,9
264,the mirror,6:47 AM,2-Oct-21,6
265,can you be depressed without knowing it,11:35 PM,1-Oct-21,23
266,no energy no joy,5:37 PM,1-Oct-21,17
267,coping with darker months,4:27 PM,1-Oct-21,16
268,should everyone have a choice,2:13 PM,1-Oct-21,14
269,almost at the end,5:38 AM,1-Oct-21,5
270,i will always be single,1:38 AM,1-Oct-21,1
271,help a smile part 2,1:31 AM,1-Oct-21,1
272,i dont have anyone i hate being alive i truly hate it,10:49 PM,30-Sep-21,22
273,loneliness,8:13 PM,30-Sep-21,20
274,what should i do on my birthday to keep myself from getting too depressed,5:05 PM,30-Sep-21,17
275,gods love and comfort is all i need in this world,12:06 PM,30-Sep-21,12
276,one of those days %F0%9F%98%9E,11:27 AM,30-Sep-21,11
277,i was actually hoping to be in a better place by now 3 years later but im exactly were i was,10:23 AM,30-Sep-21,10
278,getting perspective,8:53 AM,30-Sep-21,8
279,drowning in anxiety and feeling incapable as a human being,5:32 AM,30-Sep-21,5
280,i wish i didn%E2%80%99t feel this way,1:34 AM,30-Sep-21,1
281,seroquel alternatives,9:28 PM,29-Sep-21,21
282,birth defect called erbs palsy,8:26 PM,29-Sep-21,20
283,retirement depression,3:24 PM,29-Sep-21,15
284,when did your antidepressant level out for you,1:53 PM,29-Sep-21,13
285,suicidal thoughts,10:20 AM,29-Sep-21,10
286,still struggling with %E2%80%9Cwhat%E2%80%99s the point %E2%80%9D,7:57 AM,29-Sep-21,7
287,counselling through work scheme,7:45 AM,29-Sep-21,7
288,how often do you have passive suicidal thoughts,2:47 AM,29-Sep-21,2
289,the older i get the more i want to die,1:56 AM,29-Sep-21,1
290,has an antidepressant suddenly stopped working for,12:08 AM,29-Sep-21,0
291,insecurities,10:30 PM,28-Sep-21,22
292,hole inside me i dont know what i need,8:06 PM,28-Sep-21,20
293,magnesium for depression and anxiety,7:47 PM,28-Sep-21,19
294,am i overthinking this,12:22 PM,28-Sep-21,12
295,i wonder how much time ive spent lying in bed feeling like this,11:37 AM,28-Sep-21,11
296,my world crumbled,9:21 AM,28-Sep-21,9
297,suicidal thoughts,10:17 PM,27-Sep-21,22
298,candy,3:54 PM,27-Sep-21,15
299,agitated,10:53 AM,27-Sep-21,10
300,it%E2%80%99s like my brain stopped working,8:16 AM,27-Sep-21,8
301,agitated depression,7:09 AM,27-Sep-21,7
302,hi,6:40 AM,27-Sep-21,6
303,76 of all suicides are by men,1:40 AM,27-Sep-21,1
304,worried for my boyfriend,12:20 AM,27-Sep-21,0
305,suicidal,11:27 PM,26-Sep-21,23
306,severe depression,10:51 PM,26-Sep-21,22
307,break up,8:42 PM,26-Sep-21,20
308,flashbacks to being depressed,5:16 PM,26-Sep-21,17
309,existential crisis what next,5:41 AM,26-Sep-21,5
310,mental health center denied,12:08 AM,26-Sep-21,0
311,depressed,11:46 PM,25-Sep-21,23
312,depression and tiredness,10:30 PM,25-Sep-21,22
313,not suicidal but suicidal,6:04 PM,25-Sep-21,18
314,i am giving up,5:48 PM,25-Sep-21,17
315,it%E2%80%99s okay,9:47 PM,24-Sep-21,21
316,cant get sad songs out of my head sometimes,4:23 AM,24-Sep-21,4
317,can someone pass away of depression loneliness,2:59 AM,24-Sep-21,2
318,why do i feel good one min sh the next %E2%80%A6,1:32 AM,24-Sep-21,1
319,rant,12:11 AM,24-Sep-21,0
320,depressed and raging,10:27 PM,23-Sep-21,22
321,today,8:17 PM,23-Sep-21,20
322,been sleeping a lot last few days and feel weak no strength or energy,6:58 PM,23-Sep-21,18
323,scared,3:17 PM,23-Sep-21,15
324,im so scared please lese help,3:06 PM,23-Sep-21,15
325,please help so distracted and confused,5:47 AM,23-Sep-21,5
326,loosing hope,9:39 PM,22-Sep-21,21
327,struggling but trying hard to fight it,9:23 PM,22-Sep-21,21
328,no matter what i do it goes against me,9:11 PM,22-Sep-21,21
329,feeling lost,6:11 PM,22-Sep-21,18
330,i thought it couldnt be worse,5:59 PM,22-Sep-21,17
331,incapable of positivity,9:08 AM,22-Sep-21,9
332,help with anhedonia,3:33 AM,22-Sep-21,3
333,appreciation,1:51 AM,22-Sep-21,1
334,health cost,12:10 AM,22-Sep-21,0
335,i am not okay,6:24 PM,21-Sep-21,18
336,not meant for this world,5:11 PM,21-Sep-21,17
337,i feel like im doing everything wrong,10:04 PM,20-Sep-21,22
338,mold in house this can be a huge cause of mental illness,12:56 PM,20-Sep-21,12
339,need help but too frightened of services,5:45 AM,20-Sep-21,5
340,want to die bit dont know why,8:12 PM,19-Sep-21,20
341,pushing away loved ones,6:54 PM,19-Sep-21,18
342,what%E2%80%99s the point,6:33 PM,19-Sep-21,18
343,i am losing appetite,5:15 PM,19-Sep-21,17
344,oh man it gets heavy sometimes doesn%E2%80%99t it,4:33 PM,19-Sep-21,16
345,im losing my mind help please,2:31 PM,19-Sep-21,14
346,has anyone actually recovered from the emotional numbness part of depression,8:45 AM,19-Sep-21,8
347,reluctant to anti depressants,8:33 AM,19-Sep-21,8
348,cold water swimming to treat depression anxiety,7:14 AM,19-Sep-21,7
349,depression to happiness using these tips,5:24 AM,19-Sep-21,5
350,took a totally new approach bought kratom,3:59 AM,19-Sep-21,3
351,pretty depressed,12:48 AM,19-Sep-21,0
352,difficult time coming off buspar,4:17 PM,18-Sep-21,16
353,too tired,8:32 AM,18-Sep-21,8
354,if youre not me then im jealous of you,2:32 AM,18-Sep-21,2
355,anyone in the uk treated with ritalin methylphenidate for depression,12:38 AM,18-Sep-21,0
356,i%E2%80%99m not sure what to do anymore,12:25 AM,18-Sep-21,0
357,chronic depression,11:25 PM,17-Sep-21,23
358,triggering stress,11:15 PM,17-Sep-21,23
359,simple things that have uplifted your mood,5:31 PM,17-Sep-21,17
360,really all i wish for is to be neurotypical,4:58 PM,17-Sep-21,16
361,what helps with lack of pleasure,4:08 PM,17-Sep-21,16
362,has anyone ever worn the life is good brand of clothing,3:52 PM,17-Sep-21,15
363,do you know people who are jealous of your depression,1:41 PM,17-Sep-21,13
364,trainee psychologist with suicidal thoughts,12:25 PM,17-Sep-21,12
365,can passive suicidal thoughts result in actual suicide,1:00 AM,17-Sep-21,1
366,does depression make you say things you don%E2%80%99t mean to the people closest to you,12:57 AM,17-Sep-21,0
367,epiphany,12:50 AM,17-Sep-21,0
368,33 and about to lose my job and move home give me a reason to live,11:53 PM,16-Sep-21,23
369,does any else feel like me,10:04 PM,16-Sep-21,22
370,i%E2%80%99m so confused,9:03 PM,16-Sep-21,21
371,good day with depression,5:11 PM,16-Sep-21,17
372,staying behind,9:49 AM,16-Sep-21,9
373,anyone spent time in a private mental health facility in the uk,9:22 AM,16-Sep-21,9
374,permanently depressed just struggle o function anyone elseor is it just me,5:36 AM,16-Sep-21,5
375,overwhelmed,1:58 AM,16-Sep-21,1
376,too depressed to get help for depression ironic no,12:37 PM,15-Sep-21,12
377,no to today just no,1:54 PM,14-Sep-21,13
378,ive given up so what do i do now,7:02 AM,14-Sep-21,7
379,places you have been too that helps,4:52 AM,14-Sep-21,4
380,what%E2%80%99s the point,6:38 PM,13-Sep-21,18
381,its not working depression and anxiety need help,6:08 PM,13-Sep-21,18
382,i wish i could turn into a bird or insect,12:30 PM,13-Sep-21,12
383,no one is here,3:25 AM,13-Sep-21,3
384,sleep,1:31 AM,13-Sep-21,1
385,i should be feeling good about tomorrow but i dont,1:16 AM,13-Sep-21,1
386,i feel like i would be better off dead,6:40 PM,12-Sep-21,18
387,do you feel better in the mornings,6:28 PM,12-Sep-21,18
388,venlafaxine for depression experience,7:18 AM,12-Sep-21,7
389,don%E2%80%99t wanna get out of bed,3:02 AM,12-Sep-21,3
390,why am i alive,9:36 PM,11-Sep-21,21
391,please someone talk to me,3:50 PM,11-Sep-21,15
392,why do we hurt those that we love,3:32 PM,11-Sep-21,15
393,ive been at my limit for months,2:40 PM,11-Sep-21,14
394,are people with depression more aware of our mortality,11:07 PM,10-Sep-21,23
395,i guess i just want to vent,8:50 PM,10-Sep-21,20
396,has anyone tried ritalin for depression,8:15 PM,10-Sep-21,20
397,depression and anger,6:01 PM,10-Sep-21,18
398,depression due to abusive husband,5:46 PM,10-Sep-21,17
399,feeling low,5:33 PM,10-Sep-21,17
400,i have firewalls that protect me,5:15 PM,10-Sep-21,17
401,terrified of our current future society,5:12 PM,10-Sep-21,17
402,acute anxiety moderate severe depression,2:13 PM,10-Sep-21,14
403,,12:33 PM,10-Sep-21,12
404,its 3am here im feeling so lonely,10:03 AM,10-Sep-21,10
405,i have a great life still feel like shit most days,1:15 AM,10-Sep-21,1
406,i feel like a coward and wont be able to protect he,1:11 AM,10-Sep-21,1
407,overwhelming regret from an anxiety riddled bad decision causing chronic depression,7:36 PM,9-Sep-21,19
408,depressed as cant make friends and people keep ghosting me why,7:38 AM,9-Sep-21,7
409,night time,4:00 AM,9-Sep-21,4
410,depression and anxiety,8:34 PM,8-Sep-21,20
411,someone help me please im so numb i could harm myself,6:30 PM,8-Sep-21,18
412,anti depressants a second time around,11:39 AM,8-Sep-21,11
413,i have no friends,9:07 AM,8-Sep-21,9
414,comfort in the depression,8:43 AM,8-Sep-21,8
415,even though i have support i still feel alone,8:37 AM,8-Sep-21,8
416,finally on fluoxetine,8:15 AM,8-Sep-21,8
417,maladaptive daydreaming,5:21 AM,8-Sep-21,5
418,hopeless future,5:21 AM,8-Sep-21,5
419,i remember how they look at me scornfully their nasty words,3:33 AM,8-Sep-21,3
420,rock bottom,11:15 PM,7-Sep-21,23
421,looking for help for my mum,11:12 PM,7-Sep-21,23
422,feel worse than before,6:38 PM,7-Sep-21,18
423,sad life,6:17 PM,7-Sep-21,18
424,whats the point of life,6:06 PM,7-Sep-21,18
425,wrong diagnosis of depression,5:07 PM,7-Sep-21,17
426,has an anti depressant ever caused you to have tinnitus or tmj,11:54 AM,7-Sep-21,11
427,a trace of recovery,11:26 AM,7-Sep-21,11
428,lately found it hard to explain myself,11:13 AM,7-Sep-21,11
429,suicidal,4:27 AM,7-Sep-21,4
430,self help,11:05 PM,6-Sep-21,23
431,is adviceable to live with your parents if you are a depressed adult,10:23 PM,6-Sep-21,22
432,small things that help,9:25 PM,6-Sep-21,21
433,feeling like self harming even though i feel mentally fin,9:25 PM,6-Sep-21,21
434,back to work,9:22 PM,6-Sep-21,21
435,keeping the house tidy with depression,8:14 PM,6-Sep-21,20
436,monday tomorrow%F0%9F%98%A5,6:28 PM,6-Sep-21,18
437,depression meds,5:15 PM,6-Sep-21,17
438,irritability,4:20 PM,6-Sep-21,16
439,does your pain drive you or consume you,1:48 AM,6-Sep-21,1
440,ill get better some day right,1:32 PM,5-Sep-21,13
441,feels like every day is groundhog day,1:03 PM,5-Sep-21,13
442,i may have hurt my beagle,4:47 AM,5-Sep-21,4
443,my night mom call me at 10 sleep i will hear your voice lay hope lost,2:51 AM,5-Sep-21,2
444,feeling stressed and pressurised,11:12 PM,4-Sep-21,23
445,im a nuisance,3:40 AM,4-Sep-21,3
446,my life is over,12:48 AM,4-Sep-21,0
447,what are some questions you have when it comes to depression,9:21 PM,3-Sep-21,21
448,the societal system makes me want to check out,9:50 AM,3-Sep-21,9
449,should i quit my job if it is making me depressed,9:07 AM,3-Sep-21,9
450,is this rock bottom,10:34 PM,2-Sep-21,22
451,can anyone keep me company for a while,9:03 PM,2-Sep-21,21
452,everyone is moving on without me,5:11 PM,2-Sep-21,17
453,anyone else find first thing in the morning hard,11:26 AM,2-Sep-21,11
454,thirty two days of fluoxetine,11:08 AM,2-Sep-21,11
455,pessimistic,10:41 AM,2-Sep-21,10
456,we are not created equal,10:24 AM,2-Sep-21,10
457,nothing to be happy about,7:33 AM,2-Sep-21,7
458,found an old post i made i havent changed a bit,12:44 PM,1-Sep-21,12
459,anyone else feels wrong when feeling good,2:58 AM,1-Sep-21,2
460,oh god im so depressed,4:57 PM,31-Aug-21,16
